comment,label
You sound horrible,toxic
Thanks for the content!,supportive
Worst video ever,toxic
Keep up the great work,supportive
Can't believe people like this,toxic
You're amazing!,supportive
You sound horrible,toxic
So clear and helpful,supportive
Worst video ever,toxic
Thanks for the content!,supportive
Worst video ever,toxic
Best tutorial I've seen,supportive
Worst video ever,toxic
Keep up the great work,supportive
Clickbait title,toxic
You're amazing!,supportive
You're such a loser,toxic
Awesome explanation,supportive
This is trash,toxic
Best tutorial I've seen,supportive
Cringe content,toxic
Keep up the great work,supportive
You're such a loser,toxic
You're amazing!,supportive
Worst video ever,toxic
Keep up the great work,supportive
Worst video ever,toxic
So clear and helpful,supportive
Worst video ever,toxic
Keep up the great work,supportive
Waste of time,toxic
Awesome explanation,supportive
Can't believe people like this,toxic
Awesome explanation,supportive
Cringe content,toxic
You're amazing!,supportive
You're so dumb,toxic
Awesome explanation,supportive
Stop making content,toxic
You're amazing!,supportive
Can't believe people like this,toxic
So clear and helpful,supportive
You sound horrible,toxic
Keep up the great work,supportive
Stop making content,toxic
Keep up the great work,supportive
You're such a loser,toxic
This helped me a lot!,supportive
Cringe content,toxic
You're amazing!,supportive
Can't believe people like this,toxic
Much appreciated!,supportive
Cringe content,toxic
Much appreciated!,supportive
Clickbait title,toxic
Legend!,supportive
Worst video ever,toxic
Best tutorial I've seen,supportive
Clickbait title,toxic
Thanks for the content!,supportive
You sound horrible,toxic
You're amazing!,supportive
Clickbait title,toxic
Legend!,supportive
Waste of time,toxic
Awesome explanation,supportive
Clickbait title,toxic
Keep up the great work,supportive
Can't believe people like this,toxic
Awesome explanation,supportive
This is trash,toxic
Awesome explanation,supportive
You're so dumb,toxic
Keep up the great work,supportive
This is trash,toxic
Best tutorial I've seen,supportive
You're so dumb,toxic
This helped me a lot!,supportive
Clickbait title,toxic
Best tutorial I've seen,supportive
You sound horrible,toxic
Keep up the great work,supportive
You're such a loser,toxic
So clear and helpful,supportive
Can't believe people like this,toxic
Best tutorial I've seen,supportive
Cringe content,toxic
Legend!,supportive
You sound horrible,toxic
Legend!,supportive
You're so dumb,toxic
You're amazing!,supportive
Waste of time,toxic
Legend!,supportive
You're so dumb,toxic
Thanks for the content!,supportive
Can't believe people like this,toxic
Best tutorial I've seen,supportive
This is trash,toxic
I learned a lot!,supportive
